iter	Passed	Remaining
473	658	730
474	660	730
475	661	728
476	662	726
477	663	724
478	664	722
479	665	721
480	666	719
481	667	717
482	668	715
483	669	713
484	670	711
485	670	709
486	671	707
487	672	705
488	673	703
489	675	703
490	676	701
491	677	699
492	678	697
493	679	695
494	680	694
495	681	692
496	682	690
497	683	688
498	684	687
499	685	685
500	686	683
501	687	681
502	687	679
503	689	678
504	691	677
505	692	675
506	693	673
507	693	672
508	694	670
509	695	668
510	696	666
511	697	665
512	698	663
513	699	661
514	700	659
515	701	657
516	702	656
517	703	654
518	705	653
519	706	652
520	707	650
521	708	648
522	709	647
523	710	645
524	711	643
525	712	642
526	713	640
527	714	638
528	715	637
529	716	635
530	717	633
531	718	631
532	719	630
533	720	629
534	721	627
535	722	625
536	723	623
537	724	622
538	725	620
539	726	618
540	727	617
541	728	615
542	729	613
543	730	611
544	730	610
545	732	608
546	733	607
547	734	605
548	735	604
549	736	602
550	737	601
551	738	599
552	739	597
553	740	596
554	741	594
555	742	592
556	743	591
557	744	589
558	745	587
559	746	586
560	746	584
561	747	582
562	749	581
563	750	580
564	751	578
565	753	577
566	754	575
567	755	574
568	756	572
569	757	571
570	757	569
571	758	567
572	759	566
573	761	564
574	761	563
575	762	561
576	764	560
577	765	558
578	766	557
579	767	555
580	768	554
581	769	552
582	770	550
583	771	549
584	771	547
585	772	545
586	773	544
587	774	542
588	774	540
589	775	539
590	776	537
591	777	535
592	779	534
593	780	533
594	781	531
595	782	530
596	783	528
597	783	527
598	784	525
599	785	523
600	786	522
601	787	520
602	787	518
603	788	517
604	789	515
605	790	513
606	791	512
607	791	510
608	792	508
609	794	507
610	795	506
611	796	504
612	797	503
613	797	501
614	798	499
615	799	498
616	800	496
617	800	495
618	801	493
619	802	491
620	803	490
621	804	488
622	805	487
623	805	485
624	806	484
625	807	482
626	809	481
627	810	480
628	811	478
629	812	477
630	813	475
631	815	474
632	816	473
633	816	471
634	817	469
635	818	468
636	819	466
637	819	465
638	820	463
639	821	462
640	822	460
641	823	459
642	825	458
643	826	456
644	827	455
645	828	453
646	829	452
647	830	450
648	830	449
649	831	447
650	832	446
651	833	444
652	834	443
653	835	441
654	836	440
655	836	438
656	838	437
657	839	436
658	840	434
659	840	433
660	841	431
661	842	430
662	843	428
663	844	427
664	845	426
665	846	424
666	847	423
667	848	421
668	850	420
669	851	419
670	854	418
671	855	417
672	856	416
673	858	415
674	859	413
675	860	412
676	861	411
677	863	410
678	864	408
679	865	407
680	866	405
681	869	405
682	870	404
683	871	402
684	873	401
685	873	400
686	874	398
687	875	397
688	876	395
689	877	394
690	878	392
691	879	391
692	880	389
693	881	388
694	883	387
695	885	386
696	886	385
697	887	384
698	889	382
699	890	381
700	891	380
701	892	378
702	893	377
703	894	375
704	894	374
705	895	373
706	897	371
707	899	371
708	900	369
709	901	368
710	902	366
711	903	365
712	904	364
713	905	362
714	906	361
715	907	359
716	908	358
717	909	357
718	909	355
719	911	354
720	914	353
721	916	352
722	917	351
723	918	350
724	919	348
725	920	347
726	921	346
727	922	344
728	923	343
729	924	341
730	925	340
731	926	339
732	928	338
733	930	337
734	932	336
735	933	334
736	934	333
737	935	332
738	937	330
739	937	329
740	938	328
741	939	326
742	940	325
743	941	323
744	944	323
745	946	322
746	948	321
747	949	319
748	949	318
749	950	316
750	951	315
751	953	314
752	954	313
753	955	311
754	956	310
755	960	310
756	963	309
757	964	308
758	965	306
759	966	305
760	967	303
761	968	302
762	969	301
763	970	299
764	972	298
765	975	297
766	976	296
767	978	295
768	979	294
769	980	293
770	982	291
771	983	290
772	984	289
773	985	287
774	990	287
775	991	286
776	993	285
777	994	283
778	996	282
779	997	281
780	998	279
781	999	278
782	1000	277
783	1002	276
784	1004	275
785	1005	273
786	1007	272
787	1008	271
788	1009	270
789	1011	268
790	1012	267
791	1013	266
792	1014	264
793	1015	263
794	1018	262
795	1019	261
796	1021	260
797	1022	258
798	1023	257
799	1024	256
800	1025	254
801	1026	253
802	1027	252
803	1028	250
804	1029	249
805	1030	248
806	1033	247
807	1034	245
808	1036	244
809	1038	243
810	1040	242
811	1041	241
812	1042	239
813	1043	238
814	1043	236
815	1044	235
816	1045	234
817	1047	233
818	1049	231
819	1051	230
820	1053	229
821	1054	228
822	1055	226
823	1056	225
824	1056	224
825	1057	222
826	1058	221
827	1059	220
828	1062	219
829	1064	217
830	1065	216
831	1066	215
832	1067	214
833	1068	212
834	1069	211
835	1071	210
836	1071	208
837	1072	207
838	1073	206
839	1074	204
840	1077	203
841	1078	202
842	1079	201
843	1080	199
844	1082	198
845	1082	197
846	1083	195
847	1084	194
848	1085	193
849	1086	191
850	1087	190
851	1087	188
852	1088	187
853	1089	186
854	1092	185
855	1093	183
856	1094	182
857	1095	181
858	1096	180
859	1097	178
860	1098	177
861	1099	176
862	1100	174
863	1101	173
864	1101	171
865	1102	170
866	1103	169
867	1104	167
868	1107	166
869	1108	165
870	1109	164
871	1110	163
872	1111	161
873	1112	160
874	1113	159
875	1114	157
876	1115	156
877	1115	155
878	1116	153
879	1117	152
880	1118	151
881	1119	149
882	1120	148
883	1122	147
884	1123	146
885	1125	144
886	1125	143
887	1126	142
888	1127	140
889	1128	139
890	1129	138
891	1130	136
892	1131	135
893	1132	134
894	1132	132
895	1133	131
896	1134	130
897	1137	129
898	1138	127
899	1139	126
900	1140	125
901	1140	123
902	1141	122
903	1142	121
904	1143	120
905	1144	118
906	1145	117
907	1146	116
908	1146	114
909	1147	113
910	1148	112
911	1149	110
912	1150	109
913	1151	108
914	1152	107
915	1153	105
916	1154	104
917	1155	103
918	1156	101
919	1156	100
920	1157	99
921	1158	98
922	1159	96
923	1160	95
924	1161	94
925	1161	92
926	1162	91
927	1163	90
928	1164	89
929	1165	87
930	1167	86
931	1168	85
932	1169	83
933	1169	82
934	1170	81
935	1171	80
936	1172	78
937	1173	77
938	1174	76
939	1175	75
940	1176	73
941	1176	72
942	1177	71
943	1178	69
944	1179	68
945	1180	67
946	1182	66
947	1183	64
948	1183	63
949	1184	62
950	1185	61
951	1186	59
952	1186	58
953	1187	57
954	1188	55
955	1189	54
956	1189	53
957	1190	52
958	1191	50
959	1192	49
960	1193	48
961	1194	47
962	1194	45
963	1196	44
964	1197	43
965	1198	42
966	1199	40
967	1199	39
968	1200	38
969	1201	37
970	1202	35
971	1202	34
972	1203	33
973	1204	32
974	1205	30
975	1205	29
976	1206	28
977	1207	27
978	1208	25
979	1209	24
980	1209	23
981	1211	22
982	1212	20
983	1213	19
984	1214	18
985	1214	17
986	1215	16
987	1216	14
988	1217	13
989	1218	12
990	1218	11
991	1219	9
992	1220	8
993	1221	7
994	1221	6
995	1222	4
996	1223	3
997	1224	2
998	1225	1
999	1227	0
